Distance,RussellSpeed,LeclercSpeed,SpeedDifference
899.4921515960398,300.2991946020095,293.4858524480113,6.813342153998178
904.6915281948608,298.98089066077597,291.88466150360915,7.0962291571668175
909.8909047936818,297.1880021784239,290.0081947611775,7.179807417246423
915.0902813925029,295.3951136960718,288.13172801874583,7.263385677325971
920.2896579913239,293.60222521371975,286.2552612763142,7.346963937405576
925.4890345901449,291.8093367313677,284.81753461353,6.991802117837722
930.688411188966,290.0164482490156,284.266363949344,5.750084299671585
935.887787787787,288.1209689933097,283.715193285158,4.40577570815168
941.087164386608,286.2245398387245,283.16402262097205,3.0605172177524764
946.286540985429,284.32811068413935,281.10782103015765,3.2202896539816948
951.4859175842502,282.43168152955417,278.41398450470604,4.0176970248481325
956.6852941830712,279.70001333151384,275.72014797925453,3.97986535225931
961.8846707818922,276.7221885521891,273.02631145380303,3.695877098386063
967.0840473807133,269.8869285810895,268.7815081748423,1.1054204062471626
972.2834239795343,257.76093982682977,263.5821315760213,-5.8211917491915415
977.4828005783553,245.6349510725701,258.3827549772003,-12.747803904630217
982.6821771771764,233.50896231831013,251.2841830466847,-17.775220728374563
987.8815537759974,221.38297356405045,240.64909454909628,-19.26612098504583
993.0809303748184,211.991093166338,230.01400605150783,-18.02291288516983
998.2803069736394,206.85512359920992,219.22474815241003,-12.369624553200111
1003.4796835724605,197.76353858514204,205.94974407031353,-8.186205485171484
1008.6790601712815,186.43528789497344,192.6747399882173,-6.2394520932438695
1013.8784367701026,175.95752466733316,181.58015580286337,-5.622631135530213
1019.0778133689237,167.10413327873735,171.6707556968749,-4.566622418137541
1024.2771899677448,158.25074189014157,162.54699047706845,-4.296248586926879
1029.4765665665657,153.6110908205512,153.58254806530834,0.02854275524285299
1034.6759431653868,149.0942578679074,144.58790935638655,4.506348511520855
1039.8753197642077,142.70777942121384,134.91465056788246,7.793128853331382
1045.0746963630288,135.72354219891682,127.22612026660886,8.497421932307958
1050.27407296185,130.446909611225,122.70028821925433,7.7466213919706775
1055.4734495606708,125.72973326148829,118.66628913396221,7.063444127526083
1060.672826159492,120.75050050050152,115.1575874990038,5.59291300149772
1065.872202758313,115.61953675166495,112.43487845643868,3.1846582952262708
1071.071579357134,112.33640445640499,108.09182386269839,4.244580593706601
1076.270955955955,109.85011508761582,103.54867926178666,6.301435825829159
1081.4703325547762,105.99343464343535,103.0,2.99343464343535
1086.669709153597,103.56102170131318,103.71122128931636,-0.15019958800317568
1091.8690857524182,103.85246532246478,104.98453800739499,-1.1320726849302076
1097.0684623512393,106.18983806873659,108.39274577329591,-2.2029077045593226
1102.2678389500602,108.64301706686967,111.81582971860705,-3.172812651737374
1107.4672155488813,112.05461726049879,115.78795411869709,-3.7333368581982995
1112.6665921477024,115.6294369235538,120.3125463463459,-4.6831094227921
1117.8659687465233,119.2231624589159,124.05609749749696,-4.83293503858107
1123.0653453453444,123.12886537618226,127.83052712639063,-4.701661750208373
1128.2647219441656,127.03456829344864,131.61536744465013,-4.580799151201489
1133.4640985429864,130.94027121071485,135.40020776290945,-4.459936552194591
1138.6634751418076,137.78127686184922,141.26722485224005,-3.4859479903908266
1143.8628517406287,144.66786838346664,147.5263469998655,-2.8584786163988554
1149.0622283394496,151.3008027988059,153.7854691474907,-2.484666348684783
1154.2616049382707,155.03688179197079,157.38798768939387,-2.351105897423082
1159.4609815370916,158.7729607851355,158.18561932671295,0.5873414584225429
1164.6603581359127,162.50903977830038,158.98325096403212,3.525788814268253
1169.8597347347338,166.24511877146526,159.78088260135127,6.464236170113992
1175.0591113335547,167.0,158.90517735477437,8.094822645225634
1180.2584879323758,167.0,157.39568092285853,9.604319077141469
1185.457864531197,167.0,155.88618449094272,11.113815509057275
1190.6572411300178,166.6077071888966,155.0,11.607707188896597
1195.856617728839,164.8957173331872,155.0,9.895717333187207
1201.05599432766,163.5409166882934,155.28183225688525,8.259084431408155
1206.255370926481,162.57806916999328,155.9441732248879,6.633895945105394
1211.454747525302,162.12747258164768,156.6065141928906,5.520958388757094
1216.6541241241232,162.44645274108458,157.3965576787935,5.049895062291085
1221.853500722944,162.76543290052143,158.3735015320128,4.3919313685086365
1227.0528773217652,163.3729938522857,159.68653970944328,3.686454142842422
1232.2522539205863,164.78246341220705,161.60042066606457,3.1820427461424856
1237.4516305194072,166.4297227622604,163.86296786983007,2.566754892430339
1242.6510071182283,169.5854137615449,167.07434753380778,2.511066227737132
1247.8503837170495,172.74110476082942,170.31186917254274,2.429235588286673
1253.0497603158703,176.1642978153098,173.81706687961304,2.347230935696757
1258.2491369146915,179.61139832281552,177.32226458668347,2.289133736132044
1263.4485135135126,183.0900614526261,180.85650109568974,2.2335603569363514
1268.6478901123335,186.59001578242322,184.39769813056233,2.19231765186089
1273.8472667111546,190.08997011222053,188.53968493232742,1.550285179893109
1279.0466433099755,193.31045950347766,192.4942046524131,0.8162548510645706
1284.2460199087966,196.43275242130431,195.11329361077446,1.3194588105298521
1289.4453965076177,199.60867574891878,197.7323825691358,1.8762931797829765
1294.6447731064386,203.03265546033745,200.35147152749707,2.6811839328403835
1299.8441497052597,206.32274733204883,202.944330991994,3.3784163400548266
1305.0435263040808,209.43200908549665,205.5285581035576,3.903450981939045
1310.2429029029017,212.5412708389443,208.11278521512108,4.428485623823235
1315.4422795017229,215.31787388037344,210.69701232668467,4.620861553688769
1320.641656100544,216.83717223717184,213.2812394382483,3.55593279892355
1325.8410326993649,218.3564705939702,215.52847485494496,2.8279957390252264
1331.040409298186,219.8757689507686,217.64586803998526,2.2299009107833285
1336.239785897007,222.81450260303896,219.76326122502553,3.0512413780134295
1341.439162495828,225.87963727919973,222.0288526411869,3.85078463801284
1346.638539094649,228.94477195536058,224.502564855604,4.442207099756587
1351.8379156934702,230.4665289757839,226.9762770700211,3.49025190576279
1357.037292292291,231.95996693501968,228.70492816544282,3.2550387695768563
1362.2366688911122,233.45340489425553,230.42636493022727,3.027039964028262
1367.4360454899333,234.94684285349138,232.14780169501174,2.799041158479639
1372.6354220887542,236.04464812034223,233.82733889351505,2.217309226827183
